Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,Margin of Safety,Business Predictability,Fair Value,Fair Value - Price,Baggers
SMX,SMX (Security Matters) Public Limited Company Class A Ordinary Shares,$2.32,0.06,2.655%,2776437,Ireland,,47408,Technology,Industrial Machinery/Components,99.99,0,"$ 33,227.53",33225.21,1432121.12%
CISS,C3is Inc. Common Stock,$0.72,-0.0101,-1.383%,3052119,Greece,,33115,Consumer Discretionary,Marine Transportation,99.96,0,"$ 1,742.04",1741.32,241850.00%
BENF,Beneficient Class A Common Stock,$0.309,-0.001,-0.323%,2675616,United States,,291997,Finance,Finance: Consumer Services,99.92,0,$ 409.92,409.611,132560.19%
AMTD,AMTD IDEA Group American Depositary Shares each representing six (6) Class A Ordinary Shares,$1.0301,0.0101,0.99%,68038105,,,4730,Finance,Finance: Consumer Services,99.87,0,$ 771.25,770.2199,74771.37%
XTKG,X3 Holdings Co. Ltd. Ordinary Shares,$0.7023,0.0159,2.316%,9670649,China,2019,372583,Technology,EDP Services,99.85,0,$ 482.50,481.7977,68602.83%
VCIG,VCI Global Limited Ordinary Share,$0.6101,-0.0704,-10.345%,1884822,Malaysia,2023,783892,Consumer Discretionary,Diversified Commercial Services,99.72,0,$ 275.94,275.3299,45128.65%
NXTT,Next Technology Holding Inc. Ordinary Shares,$0.3704,-0.0412,-10.01%,2584062,China,,1042983,Technology,EDP Services,99.79,0,$ 150.49,150.1196,40529.05%
LICN,Lichen International Limited Class A Ordinary Shares,$4.80,0.13,2.784%,2876002,China,2023,29567,Consumer Discretionary,Professional Services,99.62,0,"$ 1,157.38",1152.58,24012.08%
TAOP,Taoping Inc. Ordinary Shares ,$0.3003,-0.0059,-1.927%,1357356,Hong Kong,,253150,Technology,Computer Software: Prepackaged Software,99.13,1,$ 34.38,34.0797,11348.55%
BNED,Barnes & Noble Education Inc Common Stock,$8.74,0.12,1.392%,264069626,United States,2015,941442,Consumer Discretionary,Other Specialty Stores,99.09,1,$ 940.94,932.2,10665.90%
DTC,Solo Brands Inc. Class A Common Stock,$0.655,0.0049,0.754%,60044905,United States,2021,281040,Consumer Discretionary,Recreational Games/Products/Toys,99.56,0,$ 54.69,54.035,8249.62%
VTAK,Catheter Precision Inc. Common Stock,$0.3815,0.0455,13.542%,3053767,,2018,714717,Health Care,Medical/Dental Instruments,98.62,0,$ 27.50,27.1185,7108.39%
TANH,Tantech Holdings Ltd. Common Shares,$2.87,0,0.00%,3412175,China,2015,75287,Industrials,Major Chemicals,98.59,1,$ 205.31,202.44,7053.66%
LYT,Lytus Technologies Holdings PTV. Ltd. Common Shares,$0.18,0.024,15.385%,335383,United Arab Emirates,2022,136787422,Technology,EDP Services,98.93,0,$ 10.25,10.07,5594.44%
OCTO,Eightco Holdings Inc. Common Stock,$1.14,0.04,3.636%,2783154,United States,,20510,,,98.27,0,$ 64.74,63.6,5578.95%
RDHL,Redhill Biopharma Ltd. American Depositary Shares,$2.79,-0.2301,-7.619%,3572704,Israel,,24187,Health Care,Biotechnology: Pharmaceutical Preparations,97.69,1,$ 112.35,109.56,3926.88%
JBL,Jabil Inc. Common Stock,$132.44,-0.91,-0.682%,14459603851,United States,1993,1133041,Technology,Electrical Products,96.73,4.5,"$ 4,159.07",4026.63,3040.34%
FBYD,Falcon's Beyond Global Inc. Class A Common Stock,$8.41,0.42,5.257%,1084014914,United States,,13884,Consumer Discretionary,Services-Misc. Amusement & Recreation,96.53,0,$ 251.47,243.06,2890.13%
MTC,MMTec Inc. Common Shares,$1.07,-0.08,-6.957%,26635649,China,2019,195769,Technology,Computer Software: Prepackaged Software,96.47,0,$ 30.63,29.56,2762.62%
GMM,Global Mofy AI Limited Class A Ordinary Shares,$3.72,0.36,10.714%,10904190,China,2023,37240,Technology,Computer Software: Programming Data Processing,96.04,0,$ 104.06,100.34,2697.31%
GTN,Gray Media Inc. Common Stock,$3.87,0.07,1.842%,392971449,United States,,1798030,Industrials,Broadcasting,95.93,4,$ 106.56,102.69,2653.49%
SOS,SOS Limited American Depositary Shares one hundred and fifty (150) Class A Ordinary Shares,$4.84,-0.11,-2.222%,63757848,,,10197,Finance,Finance: Consumer Services,96.27,0,$ 130.31,125.47,2592.36%
PAVS,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares,$1.38,-0.06,-4.167%,10124963,China,2019,5489,Health Care, Medicinal Chemicals and Botanical Products ,96.06,0,$ 35.31,33.93,2458.70%
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),$1.84,0.09,5.143%,205927155,Brazil,2017,731973,Consumer Discretionary,Air Freight/Delivery Services,95.88,1,$ 42.01,40.17,2183.15%
HAO,Haoxi Health Technology Limited Class A Ordinary Shares,$1.56,-0.04,-2.50%,4402936,China,2024,46654,Consumer Discretionary,Advertising,94.8,0,$ 31.56,30,1923.08%
JL,J-Long Group Limited Ordinary Shares,$3.97,-0.03,-0.75%,12465800,Hong Kong,2024,19198,Consumer Discretionary,Clothing/Shoe/Accessory Stores,93.62,0,$ 74.32,70.35,1772.04%
CHR,Cheer Holding Inc. Class A Ordinary Share,$1.60,-0.12,-6.977%,16112019,China,2018,207657,Technology,EDP Services,94.13,0,$ 28.97,27.37,1710.63%
QVCGA,QVC Group Inc. Series A Common Stock,$0.232,-0.0196,-7.79%,0,United States,,4202702,,,94.94,1,$ 4.15,3.918,1688.79%
XIFR,XPLR Infrastructure LP Common Units representing limited partner interests,$8.99,-0.03,-0.333%,840872242,United States,2014,3103730,Utilities,Electric Utilities: Central,94.28,1,$ 153.44,144.45,1606.79%
FGF,Fundamental Global Inc. Common Stock ,$18.53,0.62,3.462%,23426108,United States,2014,12274,Finance,Property-Casualty Insurers,93.61,1,$ 295.55,277.02,1494.98%
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),$32.49,0.41,1.278%,228974477,Greece,,57365,Consumer Discretionary,Marine Transportation,93.66,1,$ 513.05,480.56,1479.10%
TYG,Tortoise Energy Infrastructure Corporation Common Stock,$40.63,0.08,0.197%,484630699,United States,2004,85405,Finance,Investment Managers,93.04,0,$ 612.19,571.56,1406.74%
GSL,Global Ship Lease Inc New Class A Common Shares,$23.38,0.59,2.589%,822702992,United Kingdom,,477703,Consumer Discretionary,Marine Transportation,93.23,1,$ 343.41,320.03,1368.82%
KYN,Kayne Anderson Energy Infrastructure Fund Inc.,$12.09,-0.04,-0.33%,1645830198,United States,2004,560580,Finance,Finance/Investors Services,92.74,0,$ 171.88,159.79,1321.67%
GDHG,Golden Heaven Group Holdings Ltd. Class A Ordinary Shares,$1.09,0.08,7.921%,37630728,China,2023,24438,Consumer Discretionary,Services-Misc. Amusement & Recreation,92.46,0,$ 15.12,14.03,1287.16%
MIND,MIND Technology Inc. Common Stock (DE),$6.79,0.14,2.105%,54112369,United States,1994,270921,Industrials,Industrial Machinery/Components,91.6,1,$ 86.07,79.28,1167.60%
MHUA,Meihua International Medical Technologies Co. Ltd. Ordinary Shares,$0.3276,0.0079,2.471%,8340696,China,2022,53661,Health Care,Medical/Dental Instruments,92.29,0,$ 4.15,3.8224,1166.79%
RFL,Rafael Holdings Inc. Class B Common Stock,$1.88,0.08,4.444%,46387402,United States,2018,6874,Finance,Real Estate,92.07,0,$ 23.08,21.2,1127.66%
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,$47.12,0.48,1.029%,0,United States,2011,65021,Finance,Investment Managers,91.64,0,$ 571.88,524.76,1113.67%
GASS,StealthGas Inc. Common Stock,$5.53,0.11,2.03%,199867063,Greece,2005,94190,Consumer Discretionary,Marine Transportation,91.51,1,$ 65.38,59.85,1082.28%
NXG,NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,$47.82,0.24,0.504%,124413963,,2012,66608,,,91.38,0,$ 560.31,512.49,1071.71%
STEW,SRH Total Return Fund Inc. Common Stock,$16.05,-0.08,-0.496%,0,United States,,110957,Finance,Investment Managers,90.78,0,$ 176.88,160.83,1002.06%
JXG,JX Luxventure Group Inc. Common Stock,$2.322,0.112,5.068%,3519683,China,2013,23804,Consumer Staples,Apparel,91.18,1,$ 25.27,22.948,988.29%
BWLP,BW LPG Limited Common Shares,$10.16,0.07,0.694%,0,,2024,609500,Consumer Discretionary,Transportation Services,90.05,1,$ 107.50,97.34,958.07%
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,$38.53,-0.57,-1.458%,1163004470,Greece,2007,81088,Consumer Discretionary,Marine Transportation,90.1,1,$ 405.63,367.1,952.76%
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$31.22,-0.2,-0.637%,0,United States,2004,346736,Finance,Investment Managers,89.82,1,$ 317.19,285.97,915.98%
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,$20.31,-0.31,-1.503%,2443021394,,2021,6815061,Consumer Discretionary,Marine Transportation,91.14,0,$ 205.77,185.46,913.15%
IMMR,Immersion Corporation Common Stock,$7.755,0.185,2.444%,250298092,United States,1999,415652,Technology,Computer peripheral equipment,90.11,1,$ 76.88,69.125,891.36%
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,$9.72,0.265,2.803%,481659437,South Korea,2021,24268,Technology,EDP Services,89.57,0,$ 93.50,83.78,861.93%
ONIT,Onity Group Inc. Common Stock,$29.69,0.11,0.372%,233750944,United States,,40134,Finance,Finance: Consumer Services,89.21,1,$ 280.63,250.94,845.20%
MSGM,Motorsport Games Inc. Class A Common Stock,$1.23,-0.03,-2.381%,4776776,United States,2021,7942,Technology,Computer Software: Prepackaged Software,89.69,0,$ 11.54,10.31,838.21%
TEN,Tsakos Energy Navigation Ltd Common Shares,$15.42,-0.28,-1.783%,454976398,Greece,,311449,Consumer Discretionary,Marine Transportation,88.55,1,$ 144.52,129.1,837.22%
STG,Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,$5.57,0.34,6.501%,76431250,,2018,25079,Real Estate,Other Consumer Services,89.63,0,$ 51.70,46.13,828.19%
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),$11.71,0.07,0.601%,1772920066,,2018,337159,Utilities,Electric Utilities: Central,88.5,3.5,$ 108.13,96.42,823.40%
BBAR,Banco BBVA Argentina S.A. ADS,$17.43,0.21,1.22%,3559845559,Argentina,,760906,Finance,Commercial Banks,88.46,4.5,$ 160.94,143.51,823.35%
NISN,NiSun International Enterprise Development Group Co. Ltd. Class A Common Shares,$6.92,0.42,6.462%,27801764,China,2016,10549,Industrials,Metal Fabrications,88.28,0,$ 63.24,56.32,813.87%
SSP,E.W. Scripps Company (The) Class A Common Stock,$1.43,0.02,1.418%,123498379,United States,,1338156,Industrials,Broadcasting,79.58,1,$ 12.93,11.5,804.20%
NCTY,The9 Limited American Depository Shares,$11.18,0.38,3.519%,100508200,China,2004,23316,Finance,Finance: Consumer Services,88.38,1,$ 100.00,88.82,794.45%
YY,JOYY Inc. American Depositary Shares,$48.675,0.415,0.86%,2962733351,China,2012,381548,Technology,EDP Services,89.04,1,$ 434.97,386.295,793.62%
LRE,Lead Real Estate Co. Ltd American Depositary Shares,$1.14,-0.02,-1.724%,15551766,Japan,2023,2349,Consumer Discretionary,Homebuilding,88.69,0,$ 10.17,9.03,792.11%
SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,$40.56,0.4649,1.159%,778161974,United States,,1811,Industrials,Industrial Specialties,88.98,4,$ 360.31,319.75,788.34%
DSWL,Deswell Industries Inc. Common Shares,$2.31,0,0.00%,36810402,Macau,1995,6524,Industrials,Plastic Products,88.58,1,$ 20.31,18,779.22%
AIRJ,AirJoule Technologies Corporation Class A Common Stock,$7.30,-0.16,-2.145%,407655105,United States,2022,25855,Industrials,Industrial Machinery/Components,87.9,0,$ 61.97,54.67,748.90%
ANTE,AirNet Technology Inc. American Depositary Shares,$0.415,-0.005,-1.19%,5938650,China,2007,11013,Consumer Discretionary,Advertising,83.82,1,$ 3.46,3.045,733.73%
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,$19.00,0.01,0.053%,0,United States,2004,97586,Finance,Finance/Investors Services,88,0,$ 157.97,138.97,731.42%
TKLF,Tokyo Lifestyle Co. Ltd. American Depositary Shares,$3.50,0.265,8.192%,14777074,Japan,2022,1865,Consumer Discretionary,Other Specialty Stores,88.25,0,$ 28.93,25.43,726.57%
STLA,Stellantis N.V. Common Shares,$12.48,-0.39,-3.03%,35948543642,United Kingdom,2014,27469858,Consumer Discretionary,Auto Manufacturing,87.8,1,$ 101.48,89,713.14%
IMPP,Imperial Petroleum Inc. Common Shares,$2.36,0.04,1.724%,79602800,Greece,,227376,Consumer Discretionary,Marine Transportation,86.97,1,$ 18.88,16.52,700.00%
AZI,Autozi Internet Technology (Global) Ltd. Class A Ordinary Shares,$0.49,0.0038,0.782%,51930788,China,2024,95882,Consumer Discretionary,Automotive Aftermarket,86.99,0,$ 3.92,3.43,700.00%
SHFS,SHF Holdings Inc. Class A Common Stock,$0.28,-0.035,-11.111%,15588532,United States,2021,132124,Finance,Finance: Consumer Services,86.76,0,$ 2.19,1.91,682.14%
JFIN,Jiayin Group Inc. American Depositary Shares,$10.09,0.79,8.495%,535097784,China,2019,114524,Finance,Finance: Consumer Services,84.97,0,$ 78.65,68.56,679.48%
CNXC,Concentrix Corporation Common Stock,$45.68,-1.61,-3.405%,2941724987,United States,,613215,Technology,Computer Software: Prepackaged Software,87.56,0,$ 355.94,310.26,679.20%
CAAS,China Automotive Systems Inc. Common Stock,$4.22,-0.1,-2.315%,127383662,China,,37669,Consumer Discretionary,Auto Parts:O.E.M.,86.83,1,$ 32.81,28.59,677.49%
DH,Definitive Healthcare Corp. Class A Common Stock,$2.77,-0.07,-2.465%,312764370,United States,2021,1089038,Technology,Computer Software: Prepackaged Software,87.12,0,$ 21.35,18.58,670.76%
GCT,GigaCloud Technology Inc Class A Ordinary Shares,$15.31,0.19,1.257%,613416033,Hong Kong,2022,953746,Consumer Discretionary,Catalog/Specialty Distribution,87.33,0,$ 117.81,102.5,669.50%
NXPL,NextPlat Corp Common Stock,$0.9254,-0.0046,-0.495%,24026207,United States,,33991,Telecommunications,Telecommunications Equipment,85.8,1,$ 7.04,6.1146,660.75%
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,$10.20,-0.06,-0.585%,608282426,Argentina,1997,318666,Finance,Real Estate,86.21,1,$ 75.36,65.16,638.82%
ASA,ASA  Gold and Precious Metals Limited,$25.58,1.01,4.111%,483791061,United States,,76370,Industrials,Precious Metals,86.18,0,$ 187.50,161.92,632.99%
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,$5.12,-0.01,-0.195%,0,United States,2010,130507,Finance,Investment Managers,86.51,0,$ 37.50,32.38,632.42%
CTMX,CytomX Therapeutics Inc. Common Stock,$0.6204,-0.0493,-7.362%,49693971,United States,2015,2000570,Health Care,Biotechnology: Pharmaceutical Preparations,86.67,1,$ 4.50,3.8796,625.34%
PBYI,Puma Biotechnology Inc Common Stock,$3.39,-0.035,-1.022%,168180609,United States,,638080,Health Care,Biotechnology: Pharmaceutical Preparations,86.38,1,$ 24.38,20.99,619.17%
PTA,Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest,$19.32,-0.34,-1.729%,1067883189,United States,2020,111753,Finance,Trusts Except Educational Religious and Charitable,85.94,0,$ 136.56,117.24,606.83%
ZTR,Virtus Total Return Fund Inc.,$5.84,0,0.00%,0,United States,1988,179995,Finance,Investment Managers,85.82,0,$ 41.25,35.41,606.34%
PMM,Putnam Managed Municipal Income Trust Common Stock,$6.21,0.01,0.161%,302668004,United States,1989,97573,Finance,Investment Managers,85.67,0,$ 43.13,36.92,594.52%
COLL,Collegium Pharmaceutical Inc. Common Stock,$29.99,0.33,1.113%,944250835,United States,2015,455016,Health Care,Biotechnology: Pharmaceutical Preparations,85.3,0,$ 201.56,171.57,572.09%
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,$54.39,0.28,0.517%,8020850278,Argentina,,1134307,Finance,Commercial Banks,83.55,5,$ 361.25,306.86,564.18%
PXS,Pyxis Tankers Inc. Common Stock,$3.29,-0.03,-0.904%,34684980,Greece,,16419,Consumer Discretionary,Marine Transportation,84.99,1,$ 21.85,18.56,564.13%
AIFU,AIX Inc. American Depositary Shares,$0.3862,0.0087,2.305%,21899635,China,2007,180984,Finance,Specialty Insurers,83.46,1,$ 2.54,2.1538,557.69%
HRTG,Heritage Insurance Holdings Inc. Common Stock,$11.88,0.58,5.133%,364528272,United States,2014,213914,Finance,Property-Casualty Insurers,82.44,1,$ 78.13,66.25,557.66%
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,$8.57,0.04,0.469%,0,United States,2007,189358,Finance,Finance Companies,84.79,0,$ 56.14,47.57,555.08%
CHN,China Fund Inc. (The) Common Stock,$13.18,0.23,1.776%,0,United States,,17791,Finance,Investment Managers,84.78,0,$ 86.25,73.07,554.40%
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,$8.46,0.01,0.118%,0,United States,2012,40085,Finance,Finance/Investors Services,84.78,0,$ 55.31,46.85,553.78%
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$12.61,-0.17,-1.33%,81587565437,Brazil,,15924003,Energy,Oil & Gas Production,83.66,1,$ 82.19,69.58,551.78%
