Symbol,Name,Last Sale,Net Change,% Change, Market Cap ,Country,IPO Year,Volume,Sector,Industry,Margin of Safety,Business Predictability,Fair Value,Fair Value - Price,Baggers
AMTD,AMTD IDEA Group American Depositary Shares each representing six (6) Class A Ordinary Shares,1.7,-0.03,-0.01734," $81,643,753.00 ",,,37886,,,99.93,0,"$ 2,253.65",2251.95,132468%
MESO,Mesoblast Limited American Depositary Shares,1.97,-0.12,-0.05742," $200,022,421.00 ",Australia,2015,115105,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),99.67,1,$ 610.96,608.99,30913%
KXIN,Kaixin Auto Holdings Ordinary Shares,0.2369,0.0018,0.00766," $6,271,702.00 ",China,2017,542603,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,99.63,0,$ 67.86,67.6231,28545%
GDC,GD Culture Group Limited Common Stock,2.07,0.12,0.06154," $12,116,571.00 ",China,2015,186357,Industrials,Steel/Iron Ore,99.46,0,$ 385.00,382.93,18499%
IMPP,Imperial Petroleum Inc. Common Shares,3.13,-0.06,-0.01881," $50,893,800.00 ",Greece,,343818,Consumer Discretionary,Marine Transportation,99.31,1,$ 441.72,438.59,14012%
RHE,Regional Health Properties Inc. Common Stock,2.48,0,0," $4,669,909.00 ",,2017,1285,Real Estate,Real Estate,99.21,1,$ 289.26,286.78,11564%
XCUR,Exicure Inc. Common Stock,0.7101,0.0451,0.06782," $6,141,163.00 ",United States,,59858,Health Care,Biotechnology: Pharmaceutical Preparations,98.69,0,$ 51.88,51.1699,7206%
FAMI,Farmmi Inc. Ordinary Shares,1.06,-0.04,-0.03636," $6,459,723.00 ",China,2018,87434,Consumer Staples,Packaged Foods,97.91,0,$ 51.30,50.24,4740%
BKKT,Bakkt Holdings Inc. Class A Common Stock,0.58,-0.44,-0.43137," $159,305,322.00 ",United States,,38635802,Technology,Computer Software: Prepackaged Software,97.75,0,$ 27.12,26.54,4576%
DEC,Diversified Energy Company plc Ordinary Shares,12.32,-1.09,-0.08128," $593,563,247.00 ",,,347303,,,97.54,0,$ 499.06,486.74,3951%
